step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,vdd_gpu_mw,vdd_cpu_mw
0,676.1722881346941,62.45027109980583,103.20774465799332,1030.5069759488106,1872.6728949695826,0.0,0.0,0.0,28.464059630903407,0,14626,9403,2262
1,671.6998070478439,60.750849545001984,103.92316803336143,294.02374289929867,1130.726046860218,0.0,0.0,0.0,49.69338231295511,0,15693,11413,2270
2,675.9662088006735,61.08393706381321,104.8191674053669,296.64038494229317,1138.8406734913588,0.0,0.0,0.0,55.939824364386716,0,16029,12922,2258
3,675.4109766334295,61.17436848580837,103.96303981542587,292.35587269067764,1133.2583371549845,1.2750555276870728,-0.04545454680919647,0.06428243964910507,53.37620982884234,0,16128,13375,2281
4,676.9473906606436,61.40832044184208,104.27260771393776,292.01107285916805,1134.9661760032177,-2.1191020011901855,0.05000000074505806,0.0707106813788414,53.64446340930394,0,16167,13913,2252
5,674.5775993913412,61.202943325042725,103.38048078119755,291.3382723927498,1130.8531519025564,0.0,0.0,0.0,53.615029073091875,0,16180,14044,2251
6,677.0079992711544,61.37132830917835,104.15059141814709,289.30201567709446,1132.1635507047176,2.059696912765503,0.1458333432674408,0.02946278639137745,57.48385150342965,0,16180,14201,2250
7,674.8983357101679,61.5842230618,103.74281741678715,292.07388684153557,1132.6519679278135,0.3804669678211212,-0.00833333283662796,0.1296362429857254,58.094616507980305,0,16180,14432,2250
8,676.0573759675026,61.52979098260403,104.98323291540146,291.69660806655884,1134.598720818758,-2.110975980758667,0.10000000149011612,0.1414213627576828,58.39215891318926,0,16180,14511,2261
9,395.0842563062906,61.56608089804649,104.15839962661266,291.8958719819784,853.0517760664225,0.0,0.0,0.0,61.46721332323722,0,16180,14867,2237
10,394.97209526598454,61.24982424080372,104.08752039074898,289.17177580296993,849.8112317174673,0.0,0.0,0.0,63.14482375572875,0,16180,14943,2210
11,395.58940939605236,61.37532740831375,103.95462438464165,291.66025668382645,852.9178574681282,0.0,0.0,0.0,64.26024637807028,0,16180,15002,2199
12,676.3504650443792,61.793407425284386,104.76067289710045,291.72387160360813,1134.9566727876663,2.021186351776123,-0.10000000149011612,0.1414213627576828,60.555568654032506,0,16180,14638,2232
