ablation,omega_name,omega_idx,seed,hv,mean_lat_ms,p99_lat_ms,peak_mem_util,mean_energy_j,n_steps
none,reward,0,0,0.0004922279448704794,0.05694423663489362,0.0729077309370041,0.13,0.0010000000000000005,470
none,reward,0,1,0.0004924383796742186,0.054260071080464586,0.066456776112318,0.125,0.0010000000000000005,468
none,reward,0,2,0.0004932504214802757,0.05363671777722163,0.06875269114971158,0.125,0.0010000000000000005,468
none,time,1,0,0.00020452884523099662,0.05550352705097105,0.06673894822597504,0.22499999999999998,0.0013428011753183159,1021
none,time,1,1,0.00017008727382691787,0.0551895387398944,0.06703741848468776,0.22499999999999998,0.0013371868978805399,1038
none,time,1,2,0.0001700768839016619,0.0553980670682727,0.0679836980998516,0.22499999999999998,0.0013371868978805399,1038
none,memory,2,0,0.00020475405124719507,0.05503028018234059,0.06644539535045622,0.22499999999999998,0.0013428011753183159,1021
none,memory,2,1,0.00017012615987221433,0.05504155355668941,0.06676925346255301,0.22499999999999998,0.0013371868978805399,1038
none,memory,2,2,0.00017013979317784928,0.055251137025094446,0.0663362443447113,0.22499999999999998,0.0013371868978805399,1038
none,energy,3,0,0.0002047038216051336,0.05522371615473834,0.06943345069885254,0.22499999999999998,0.0013428011753183159,1021
none,energy,3,1,0.00017015185933803276,0.05546294202981427,0.06847830489277833,0.22499999999999998,0.0013371868978805399,1038
none,energy,3,2,0.00017003617503863897,0.0552969979326849,0.06652044132351873,0.22499999999999998,0.0013371868978805399,1038
none,center,4,0,0.00025238340530590316,0.05525609261926335,0.06781786680221556,0.22499999999999998,0.0012625800548947852,1093
none,center,4,1,0.0002812283533919205,0.05520756755556379,0.06637336686253548,0.22000000000000003,0.0012657142857142858,1050
none,center,4,2,0.0002814491645848107,0.055234511674468384,0.06651131436228752,0.22000000000000003,0.001263757115749526,1054
preference_plane,reward,0,0,0.0004931753484057262,0.05322206527628797,0.06706077605485916,0.13,0.0010000000000000005,470
preference_plane,reward,0,1,0.0004932576910117641,0.052857654503522776,0.06489070132374761,0.125,0.0010000000000000005,468
preference_plane,reward,0,2,0.0004929368674862199,0.05321346748715792,0.06706621497869489,0.125,0.0010000000000000005,468
preference_plane,time,1,0,0.00020458446902976067,0.055441184080662856,0.06729625165462493,0.22499999999999998,0.0013428011753183159,1021
preference_plane,time,1,1,0.00017006804626427868,0.05518300871513712,0.06564620882272715,0.22499999999999998,0.0013371868978805399,1038
preference_plane,time,1,2,0.0001700322050720746,0.05537257682323915,0.06617536768317223,0.22499999999999998,0.0013371868978805399,1038
preference_plane,memory,2,0,0.00020460886754370599,0.055400430280478065,0.0674620270729065,0.22499999999999998,0.0013428011753183159,1021
preference_plane,memory,2,1,0.00017007237565736758,0.0553672760007239,0.06648994982242581,0.22499999999999998,0.0013371868978805399,1038
preference_plane,memory,2,2,0.00016999719493581068,0.055284792044144375,0.06633158773183821,0.22499999999999998,0.0013371868978805399,1038
preference_plane,energy,3,0,0.00020463803997380689,0.055080810589141174,0.06638206541538239,0.22499999999999998,0.0013428011753183159,1021
preference_plane,energy,3,1,0.00017018560612728427,0.05536806017792064,0.06698394194245334,0.22499999999999998,0.0013371868978805399,1038
preference_plane,energy,3,2,0.000170060364001141,0.055209191620120196,0.06653632968664168,0.22499999999999998,0.0013371868978805399,1038
preference_plane,center,4,0,0.0002523833688842974,0.055331320988401184,0.0661937892436981,0.22499999999999998,0.0012625800548947852,1093
preference_plane,center,4,1,0.00028125925045395663,0.05523278954483214,0.06975542753934859,0.22000000000000003,0.0012657142857142858,1050
preference_plane,center,4,2,0.0002812146293111558,0.055347595795055944,0.06690321490168573,0.22000000000000003,0.001263757115749526,1054
resource_manager,reward,0,0,0.0004931386302798055,0.05308611992191761,0.06754869595170021,0.13,0.0010000000000000005,470
resource_manager,reward,0,1,0.0004933035928630271,0.05284988154203464,0.06347587332129477,0.125,0.0010000000000000005,468
resource_manager,reward,0,2,0.0004932571908216924,0.052779049286220826,0.06437873467802999,0.125,0.0010000000000000005,468
