prompt_idx,timestamp_s,latency_ms,n_new_tokens
0,10443303.545300,2392.209,12
1,10443304.145574,600.143,11
2,10443306.201297,654.368,12
3,10443308.202113,654.099,12
4,10443309.935874,386.408,7
5,10443312.221204,670.021,12
6,10443314.237954,685.323,12
7,10443316.241876,687.825,12
8,10443318.262983,707.501,12
9,10443320.257999,701.956,12
10,10443322.265664,708.214,12
11,10443324.270933,712.073,12
12,10443326.261168,700.909,12
13,10443328.260172,698.489,12
14,10443330.280158,717.064,12
15,10443332.251796,687.748,12
16,10443333.624581,59.099,1
17,10443336.268498,700.957,12
18,10443338.278226,710.195,12
19,10443340.259324,689.883,12
20,10443341.643728,72.860,1
21,10443344.285298,712.365,12
22,10443345.634950,60.610,1
23,10443348.287105,711.066,12
24,10443349.640474,63.035,1
25,10443352.286304,706.825,12
26,10443354.273942,693.906,12
27,10443356.302435,720.975,12
28,10443358.290534,707.693,12
29,10443360.288046,703.812,12
30,10443362.295752,710.106,12
31,10443364.296968,709.917,12
32,10443366.270731,682.706,12
33,10443368.295744,706.284,12
34,10443370.295242,704.373,12
35,10443372.292175,699.883,12
36,10443374.277666,683.970,12
37,10443376.111771,516.654,9
38,10443378.307060,711.032,12
39,10443380.297917,700.489,12
40,10443382.292603,693.754,12
41,10443384.316297,716.022,12
42,10443386.321342,719.672,12
43,10443388.304249,701.192,12
44,10443390.316611,712.154,12
45,10443392.316347,710.489,12
46,10443394.303163,695.911,12
47,10443396.313273,705.253,12
48,10443398.314039,704.606,12
49,10443400.317356,706.514,12
50,10443402.317906,705.865,12
51,10443404.321185,707.735,12
52,10443406.304048,689.182,12
53,10443408.323157,707.124,12
54,10443410.324069,706.635,12
55,10443412.331382,712.552,12
56,10443414.308686,688.654,12
57,10443416.333239,711.752,12
58,10443418.331860,708.961,12
59,10443420.334266,710.225,12
60,10443422.333571,708.128,12
61,10443424.329152,702.305,12
62,10443426.326490,698.456,12
63,10443428.327048,697.605,12
64,10443430.336328,705.462,12
65,10443432.348799,716.769,12
66,10443434.321755,688.331,12
67,10443436.337808,702.933,12
68,10443437.987660,351.631,6
69,10443440.332721,694.942,12
70,10443442.344896,705.476,12
71,10443443.700866,60.839,1
72,10443446.350056,707.982,12
73,10443447.704139,60.642,1
74,10443450.345514,701.483,12
75,10443452.353747,708.325,12
76,10443454.377362,730.527,12
77,10443456.350333,702.311,12
78,10443458.050229,400.809,7
79,10443460.346061,694.937,12
80,10443462.363188,711.152,12
81,10443464.244474,591.056,10
82,10443466.364299,709.368,12
83,10443468.352234,695.922,12
84,10443470.371326,713.602,12
85,10443472.378170,719.061,12
86,10443474.362419,701.930,12
87,10443476.365250,703.346,12
88,10443478.372918,709.596,12
89,10443480.358242,694.218,12
90,10443482.369983,704.537,12
91,10443484.375133,708.279,12
92,10443486.370911,702.646,12
93,10443488.362399,692.734,12
94,10443490.388776,717.704,12
95,10443492.371828,699.376,12
96,10443494.370985,697.119,12
97,10443496.383195,707.905,12
98,10443498.382975,706.291,12
99,10443500.372779,694.677,12
100,10443502.379388,699.878,12
101,10443504.387287,706.359,12
102,10443505.745493,63.151,1
103,10443508.402710,718.683,12
104,10443510.392118,706.707,12
105,10443512.391248,704.428,12
106,10443514.393276,705.049,12
107,10443516.403938,714.307,12
108,10443518.383781,692.732,12
109,10443520.396845,704.365,12
110,10443522.402874,708.988,12
111,10443524.396682,701.384,12
112,10443526.396358,699.650,12
113,10443528.409818,711.693,12
114,10443530.399768,700.249,12
115,10443532.049015,348.069,6
116,10443534.406192,703.466,12
117,10443536.413794,709.771,12
118,10443538.402719,697.294,12
119,10443540.411805,704.958,12
120,10443542.423536,715.263,12
121,10443544.399955,690.276,12
122,10443545.785941,74.820,1
