frame_idx,timestamp_s,latency_ms
0,10443301.640760,300.547
1,10443301.649172,8.289
2,10443301.681047,6.742
3,10443301.714172,6.446
4,10443301.747569,6.424
5,10443301.781003,6.441
6,10443301.814426,6.445
7,10443301.847997,6.599
8,10443301.881394,6.569
9,10443301.914540,6.300
10,10443301.947974,6.317
11,10443301.981517,6.386
12,10443302.014891,6.345
13,10443302.048207,6.244
14,10443302.081593,6.214
15,10443302.114937,6.145
16,10443302.148558,6.352
17,10443302.182046,6.425
18,10443302.215507,6.469
19,10443302.249049,6.586
20,10443302.282379,6.494
21,10443302.315835,6.473
22,10443302.349174,6.395
23,10443302.382602,6.405
24,10443302.416048,6.436
25,10443302.449459,6.433
26,10443302.482791,6.348
27,10443302.516081,6.223
28,10443302.549873,6.601
29,10443302.583157,6.461
30,10443302.616660,6.540
31,10443302.650331,6.737
32,10443302.683616,6.603
33,10443302.716943,6.508
34,10443302.750594,6.735
35,10443302.784177,6.904
36,10443302.817359,6.678
37,10443302.850735,6.632
38,10443302.884459,6.932
39,10443302.917645,6.701
40,10443302.951107,6.738
41,10443302.984162,6.321
42,10443303.018072,6.814
43,10443303.051479,6.811
44,10443303.084517,6.441
45,10443303.118009,6.527
46,10443303.151804,6.911
47,10443303.184606,6.307
48,10443303.219028,7.320
49,10443303.251897,6.781
50,10443303.285431,6.908
51,10443303.318441,6.456
52,10443303.352580,7.189
53,10443303.385366,6.566
54,10443303.419128,6.921
55,10443303.452392,6.779
56,10443303.485319,6.297
57,10443303.518972,6.542
58,10443303.552226,6.388
59,10443303.585743,6.487
60,10443303.619149,6.481
61,10443303.653015,6.887
62,10443303.685818,6.283
63,10443303.720101,7.155
64,10443303.752772,6.413
65,10443303.786587,6.819
66,10443303.819884,6.707
67,10443303.853753,7.170
68,10443303.887296,7.304
69,10443303.919782,6.380
70,10443303.953683,6.874
71,10443303.986714,6.445
72,10443304.020295,6.616
73,10443304.053493,6.408
74,10443304.087410,6.913
75,10443304.120689,6.784
76,10443304.153599,6.286
77,10443304.186938,6.214
78,10443304.220286,6.146
79,10443304.253723,6.170
80,10443304.287172,6.205
81,10443304.320604,6.177
82,10443304.353989,6.146
83,10443304.387443,6.185
84,10443304.420849,6.171
85,10443304.454261,6.169
86,10443304.487665,6.157
87,10443304.521050,6.129
88,10443304.554501,6.166
89,10443304.587879,6.130
90,10443304.621317,6.153
91,10443304.654804,6.187
92,10443304.688263,6.231
93,10443304.721585,6.141
94,10443304.755005,6.146
95,10443304.788551,6.280
96,10443304.821825,6.141
97,10443304.855271,6.173
98,10443304.888785,6.275
99,10443304.922092,6.163
100,10443304.955513,6.170
101,10443304.989045,6.241
102,10443305.022384,6.165
103,10443305.055756,6.124
104,10443305.089186,6.143
