step,generate_ms,forward_ms,backward_ms,optim_ms,total_ms,loss,reward_mean,reward_std,gpu_util_pct,gpu_freq_mhz,ram_used_mb,ram_total_mb,vdd_gpu_mw,vdd_cpu_mw,override_fired,override_reason
0,1171.1894404143095,91.91545657813549,582.500895485282,1845.7030411809683,3704.770976677537,-0.30704909563064575,0.4583333432674408,0.05892555043101311,43.496474330296806,0,17212,30697,11151,2767,1,latency 3704.77 > 2000.0
1,678.8848657160997,67.76176020503044,99.03414361178875,541.8739840388298,1387.7872005105019,0.0003542900085449219,0.4583333730697632,0.176776722073555,67.49433461190361,0,19429,30697,14162,2813,0,
2,707.4242886155844,62.683457508683205,99.63030368089676,312.64844723045826,1182.7874556183815,1.8335483074188232,0.5416666865348816,0.05892559140920639,70.44270843452941,0,19951,30697,15317,2804,0,
3,687.5318717211485,61.955776065588,100.67996941506863,366.85337498784065,1217.2673922032118,0.0,0.1666666716337204,0.0,83.51647523274039,0,20121,30697,16854,2974,0,
4,674.9171521514654,61.322784051299095,99.37961585819721,369.3558406084776,1205.2121926099062,0.0,0.25,0.0,72.667321707142,0,20169,30697,15943,2737,0,
5,412.1747836470604,63.34918364882469,101.88156925141811,335.7721585780382,913.4287666529417,1.7616357803344727,0.4285714626312256,0.2020305097103119,88.0289284351013,0,20183,30697,17539,2953,0,
6,673.0376314371824,62.13708780705929,100.68790428340435,461.7295991629362,1297.827934846282,2.063511848449707,0.5416666865348816,0.05892559140920639,76.6642838597748,0,20188,30697,16478,2755,0,
7,674.0682236850262,61.644768342375755,99.35945644974709,336.3681584596634,1171.6898549348116,0.09599819779396057,0.2916666865348816,0.1767766922712326,67.49384800923889,0,20188,30697,15675,2619,0,
8,682.4987214058638,63.15180845558643,100.7449273020029,479.4479999691248,1326.10803283751,1.8485097885131836,0.4583333730697632,0.176776722073555,81.63220758470047,0,20188,30697,16628,2905,0,
9,670.5020498484373,61.5218561142683,98.77055883407593,342.33094565570354,1173.3571216464043,0.0,0.5833333730697632,0.0,71.12539549021749,0,20188,30697,15764,2703,0,
10,705.7058569043875,62.359519302845,100.38086399435997,339.0933442860842,1207.7855039387941,0.09639036655426025,0.5416666865348816,0.1767766922712326,84.26373744167297,0,20188,30697,17009,2886,0,
11,673.2237432152033,62.53148801624775,101.51446424424648,582.793215289712,1420.2991984784603,0.7365959286689758,0.625,0.294627845287323,79.70159088641726,0,20190,30697,16518,2870,0,
12,677.52137593925,61.82108819484711,100.67084804177284,335.6703035533428,1175.9493425488472,2.0001537799835205,0.5,0.1178511455655098,70.66334851574214,0,20190,30697,16152,2731,0,
13,676.6798719763756,62.514400109648705,99.20985624194145,336.8391674011946,1175.5041275173426,2.0470492839813232,0.4583333730697632,0.176776722073555,71.10122009311047,0,20190,30697,15802,2601,0,
14,674.2250882089138,62.40169517695904,99.92131218314171,454.6211510896683,1291.39987193048,-0.007149755954742432,0.4583333432674408,0.05892555043101311,71.81766447191475,0,20190,30697,15805,2567,0,
15,691.4679352194071,61.40073575079441,99.66393560171127,336.4046737551689,1189.167296513915,0.8622938990592957,0.25,0.1178511381149292,75.88474427699322,0,20190,30697,16355,2811,0,
16,679.4283520430326,63.04086372256279,102.16931253671646,500.3325119614601,1345.2000003308058,-1.68510103225708,0.625,0.05892555043101311,82.3555114313413,0,20192,30697,16916,2964,0,
17,673.2617281377316,61.52617558836937,99.76963326334953,337.43676729500294,1172.2362879663706,-0.0945286750793457,0.4166666865348816,0.117851123213768,71.95572574579603,0,20192,30697,16056,2734,0,
18,705.5593933910131,62.1675830334425,100.45324824750423,335.6509115546942,1204.0851842612028,-1.7163634300231934,0.625,0.05892555043101311,85.17398408882718,0,20192,30697,17272,2927,0,
19,673.2638403773308,61.57580763101578,100.70694424211979,578.1157445162535,1413.890240713954,-1.972525954246521,0.625,0.05892555043101311,79.6328150071864,0,20192,30697,16550,2868,0,
20,671.297824010253,61.885055154562,100.46409629285336,332.3617596179247,1166.2463676184416,2.170846700668335,0.3750000298023224,0.294627845287323,71.11106711583987,0,20192,30697,15706,2704,0,
21,688.775297254324,63.08089569211006,101.80732794106007,368.59155260026455,1222.5102093070745,1.9566998481750488,0.4583333730697632,0.176776722073555,86.60588201094397,0,20192,30697,17140,2966,0,
22,672.2730565816164,61.76227144896984,99.41744059324265,461.666751652956,1295.3551039099693,0.0,0.5,0.0,75.31533091988409,0,20192,30697,16104,2694,0,
23,693.0763516575098,62.03027255833149,100.37913545966148,336.2283855676651,1191.950624808669,-0.13998302817344666,0.3333333432674408,0.1178511455655098,77.22817071295901,0,20192,30697,16583,2800,0,
24,680.8202881366014,63.38662467896938,102.01465524733067,498.8898877054453,1345.3578557819128,0.0,0.5833333730697632,0.0,80.73093046863957,0,20192,30697,16461,2977,0,
25,393.2082559913397,62.34735995531082,100.93500837683678,336.07209473848343,892.8057588636875,0.0,0.2857142984867096,0.0,75.25580254158534,0,20192,30697,16380,2760,0,
26,691.4239041507244,64.15699049830437,101.78736038506031,361.51283234357834,1219.1294394433498,0.0,0.5833333730697632,0.0,84.82182842697627,0,20192,30697,16661,3001,0,
27,673.5912002623081,61.60825677216053,99.64799880981445,338.4036161005497,1173.480799421668,0.3331206440925598,0.375,0.0589255727827549,73.69449057657283,0,20192,30697,16290,2704,0,
28,672.9369927197695,61.57500855624676,99.9371837824583,312.3033922165632,1146.9924487173557,1.9065217971801758,0.6666666865348816,0.11785110086202621,68.60963307186323,0,20192,30697,15850,2593,0,
29,675.4680629819632,63.130784779787064,102.12614387273788,544.596990570426,1385.5523504316807,0.0,0.5833333730697632,0.0,76.36051921491155,0,20192,30697,16158,2789,0,
30,675.5312643945217,62.04831972718239,100.06016120314598,309.6124157309532,1147.487873211503,0.2911931574344635,0.2916666865348816,0.0589255727827549,72.3764693982433,0,20192,30697,15907,2725,0,
31,697.9977283626795,63.31673637032509,101.6332171857357,328.7471681833267,1191.9311042875051,-0.0440506637096405,0.4583333432674408,0.05892555043101311,86.3090780612624,0,20192,30697,17115,2986,0,
32,673.1609292328358,61.447424814105034,99.16211105883121,413.8746876269579,1247.8761598467827,0.0,0.6666666865348816,0.0,76.2951870680958,0,20192,30697,16264,2715,0,
33,693.6274245381355,61.63843162357807,99.8646728694439,310.23894250392914,1165.5998714268208,-0.1647186577320099,0.25,0.1178511381149292,79.86239912190723,0,20192,30697,16667,2889,0,
34,675.7892146706581,64.39344026148319,102.99174301326275,532.5561612844467,1375.9751040488482,0.2198767364025116,0.2916666865348816,0.1767766922712326,80.72240759122569,0,20192,30697,16920,2967,0,
