frame_idx,timestamp_s,latency_ms
0,10444900.121066,281.548
1,10444900.128864,7.684
2,10444900.161365,6.765
3,10444900.194722,6.704
4,10444900.227869,6.435
5,10444900.261376,6.527
6,10444900.294646,6.381
7,10444900.328097,6.420
8,10444900.361415,6.324
9,10444900.394790,6.286
10,10444900.428273,6.357
11,10444900.461775,6.394
12,10444900.495104,6.309
13,10444900.528402,6.194
14,10444900.561823,6.205
15,10444900.595316,6.283
16,10444900.628883,6.439
17,10444900.662328,6.467
18,10444900.695783,6.505
19,10444900.729187,6.489
20,10444900.762523,6.406
21,10444900.795949,6.355
22,10444900.829465,6.461
23,10444900.862814,6.394
24,10444900.896328,6.490
25,10444900.929687,6.435
26,10444900.962940,6.273
27,10444900.996497,6.416
28,10444901.030076,6.578
29,10444901.063501,6.582
30,10444901.096982,6.642
31,10444901.130441,6.623
32,10444901.163817,6.577
33,10444901.197233,6.572
34,10444901.231016,6.938
35,10444901.264122,6.630
36,10444901.297515,6.604
37,10444901.330841,6.509
38,10444901.364275,6.524
39,10444901.397723,6.551
40,10444901.431825,7.233
41,10444901.465196,7.148
42,10444901.498257,6.800
43,10444901.531145,6.279
44,10444901.564813,6.537
45,10444901.598488,6.805
46,10444901.632247,7.157
47,10444901.664757,6.259
48,10444901.698174,6.266
49,10444901.731757,6.439
50,10444901.765923,7.195
51,10444901.798998,6.819
52,10444901.831821,6.232
53,10444901.865795,6.796
54,10444901.899508,7.099
55,10444901.932640,6.822
56,10444901.966381,7.155
57,10444901.999532,6.899
58,10444902.033010,6.971
59,10444902.065727,6.274
60,10444902.099069,6.205
61,10444902.132536,6.219
62,10444902.166069,6.339
63,10444902.199357,6.210
64,10444902.232793,6.234
65,10444902.266143,6.173
66,10444902.299559,6.177
67,10444902.332961,6.170
68,10444902.366365,6.163
69,10444902.399797,6.183
70,10444902.433215,6.189
71,10444902.466724,6.233
72,10444902.500116,6.215
73,10444902.533475,6.164
74,10444902.566884,6.160
75,10444902.600355,6.218
76,10444902.633734,6.184
77,10444902.667140,6.181
78,10444902.700570,6.201
79,10444902.733956,6.174
80,10444902.767375,6.181
81,10444902.800827,6.188
82,10444902.834210,6.161
83,10444902.867631,6.171
84,10444902.901063,6.193
85,10444902.934463,6.182
86,10444902.967883,6.190
87,10444903.001314,6.210
88,10444903.034663,6.146
89,10444903.068099,6.169
90,10444903.101487,6.148
91,10444903.134940,6.153
92,10444903.168368,6.172
93,10444903.201806,6.198
94,10444903.235158,6.138
95,10444903.268605,6.173
96,10444903.301991,6.148
97,10444903.335365,6.111
98,10444903.368867,6.201
99,10444903.402257,6.181
100,10444903.435669,6.180
101,10444903.469134,6.200
102,10444903.502519,6.172
103,10444903.535921,6.162
104,10444903.569347,6.177
105,10444903.602726,6.143
106,10444903.636167,6.173
107,10444903.669557,6.153
108,10444903.702963,6.146
109,10444903.736410,6.182
110,10444903.769795,6.155
111,10444903.803249,6.162
112,10444903.836678,6.180
113,10444903.870099,6.191
114,10444903.903484,6.163
115,10444903.936931,6.198
116,10444903.970290,6.148
