algo,wrapper,seed,status,wall_time_s,n_episodes,framework_overhead_pct,mean_p99_step_ms,mean_energy_j,peak_gpu_memory_mb,peak_memory_mb,final_reward,time_to_converge_steps,reason
a2c,duojoule,0,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,duojoule,1,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,duojoule,2,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,maxa,0,COMPLETED,87.18519625626504,1051,93.82063754582191,12.090036980807799,0.0015011000000000007,0.0,0.0,107.9,881,
a2c,maxa,1,COMPLETED,60.45514214411378,1031,93.23343220113838,2.9587289318442367,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,maxa,2,COMPLETED,52.578081311658025,1112,93.51804044602345,0.9517434053122998,0.0014987800000000003,0.0,0.0,95.6,988,
a2c,maxp,0,COMPLETED,51.85662284679711,1051,93.44849443113085,0.9419864974915982,0.0015011000000000007,0.0,0.0,107.9,881,
a2c,maxp,1,COMPLETED,52.77742060832679,1031,93.70708181088258,0.9671049378812315,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,maxp,2,COMPLETED,53.46160281635821,1112,93.75804736748779,0.9759717620909217,0.0014987800000000003,0.0,0.0,95.6,988,
a2c,r3,0,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,r3,1,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,r3,2,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,tetrarl,0,COMPLETED,52.47901180759072,1051,93.51465949112668,0.9472317434847356,0.0015011000000000007,0.0,0.0,107.9,881,
a2c,tetrarl,1,COMPLETED,52.74469577521086,1031,93.66793332929241,0.9591700509190562,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,tetrarl,2,COMPLETED,53.74843049608171,1112,93.6732819820702,0.9785574115812778,0.0014987800000000003,0.0,0.0,95.6,988,
c51,duojoule,0,COMPLETED,2249.700052384287,742,96.71501427564634,8.939549624919904,0.0015435000000000006,0.0,0.0,72.1,132,
c51,duojoule,1,COMPLETED,2248.697283392772,598,96.69004278934366,9.248546715825796,0.0015368800000000005,0.0,0.0,84.7,113,
c51,duojoule,2,COMPLETED,2289.3294095359743,516,96.71408193115747,9.531490970402963,0.0015395800000000005,0.0,0.0,92.1,142,
c51,maxa,0,COMPLETED,1902.7552705593407,3092,96.96087572896084,9.205664228647947,0.0013302800000000005,0.0,0.0,343.0,133,
