algo,wrapper,seed,status,wall_time_s,n_episodes,framework_overhead_pct,mean_p99_step_ms,mean_energy_j,peak_gpu_memory_mb,peak_memory_mb,final_reward,time_to_converge_steps,reason
a2c,duojoule,0,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,duojoule,1,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,duojoule,2,SKIPPED,0.0,,,,,,,0.0,,wrapper duojoule incompatible with a2c
a2c,maxa,0,COMPLETED,200.26939791999757,1052,96.45395157651643,6.067758128046992,0.0015012000000000007,0.0,0.0,89.4,881,
a2c,maxa,1,COMPLETED,199.51372540800367,1031,96.4429433855792,6.052551728789696,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,maxa,2,COMPLETED,213.14025452797068,1112,96.59521063726736,6.946544038946744,0.0014987800000000003,0.0,0.0,95.6,988,
a2c,maxp,0,COMPLETED,202.31526828801725,1052,96.48666593642365,6.145341744995682,0.0015012000000000007,0.0,0.0,89.4,881,
a2c,maxp,1,COMPLETED,200.88926928001456,1031,96.470437881799,6.242450551944788,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,maxp,2,COMPLETED,197.90498790401034,1112,96.40312577746411,6.034947551670485,0.0014987800000000003,0.0,0.0,95.6,988,
a2c,r3,0,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,r3,1,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,r3,2,SKIPPED,0.0,,,,,,,0.0,,wrapper r3 incompatible with a2c
a2c,tetrarl,0,COMPLETED,203.59384249598952,1052,96.42625598188987,6.0568339383462515,0.0015012000000000007,0.0,0.0,89.4,881,
a2c,tetrarl,1,COMPLETED,202.76369264000095,1031,96.38018726246412,6.15743040281814,0.0015020400000000007,0.0,0.0,79.7,803,
a2c,tetrarl,2,COMPLETED,255.6240175679559,1112,97.06213641631396,7.758257262757983,0.0014987800000000003,0.0,0.0,95.6,988,
c51,duojoule,0,COMPLETED,1863.2558691200102,546,96.53433326133539,12.884234584053068,0.0015469800000000008,0.0,0.0,78.6,133,
c51,duojoule,1,COMPLETED,1865.1304304000223,536,96.5996410319378,12.968168676598,0.0015607200000000002,0.0,0.0,93.4,114,
c51,duojoule,2,COMPLETED,1864.4404968959861,606,96.54326610097111,12.953812204068537,0.0015469400000000008,0.0,0.0,82.6,144,
c51,maxa,0,COMPLETED,1682.7413283839705,3308,97.13212744389045,12.896961939404719,0.0013485800000000003,0.0,0.0,9.4,134,
c51,maxa,1,COMPLETED,1677.107127744006,480,97.07029163296758,12.952691474347386,0.0015335000000000006,0.0,0.0,98.1,123,
