episode,reward,omega_0,omega_1,omega_2,omega_3
0,11.000000,0.500000,0.500000,0.000000,0.000000
1,10.000000,0.500000,0.500000,0.000000,0.000000
2,9.000000,0.500000,0.500000,0.000000,0.000000
3,9.000000,0.500000,0.500000,0.000000,0.000000
4,8.000000,0.500000,0.500000,0.000000,0.000000
5,9.000000,0.500000,0.500000,0.000000,0.000000
6,10.000000,0.500000,0.500000,0.000000,0.000000
7,9.000000,0.500000,0.500000,0.000000,0.000000
8,10.000000,0.500000,0.500000,0.000000,0.000000
9,9.000000,0.500000,0.500000,0.000000,0.000000
10,9.000000,0.500000,0.500000,0.000000,0.000000
11,9.000000,0.500000,0.500000,0.000000,0.000000
12,10.000000,0.500000,0.500000,0.000000,0.000000
13,9.000000,0.500000,0.500000,0.000000,0.000000
14,9.000000,0.500000,0.500000,0.000000,0.000000
15,10.000000,0.500000,0.500000,0.000000,0.000000
16,10.000000,0.500000,0.500000,0.000000,0.000000
17,9.000000,0.500000,0.500000,0.000000,0.000000
18,10.000000,0.500000,0.500000,0.000000,0.000000
19,10.000000,0.500000,0.500000,0.000000,0.000000
20,10.000000,0.500000,0.500000,0.000000,0.000000
21,9.000000,0.500000,0.500000,0.000000,0.000000
22,10.000000,0.500000,0.500000,0.000000,0.000000
23,10.000000,0.500000,0.500000,0.000000,0.000000
24,9.000000,0.500000,0.500000,0.000000,0.000000
25,10.000000,0.500000,0.500000,0.000000,0.000000
26,10.000000,0.500000,0.500000,0.000000,0.000000
27,10.000000,0.500000,0.500000,0.000000,0.000000
28,9.000000,0.500000,0.500000,0.000000,0.000000
29,9.000000,0.500000,0.500000,0.000000,0.000000
30,10.000000,0.500000,0.500000,0.000000,0.000000
31,9.000000,0.500000,0.500000,0.000000,0.000000
32,10.000000,0.500000,0.500000,0.000000,0.000000
33,8.000000,0.500000,0.500000,0.000000,0.000000
34,10.000000,0.500000,0.500000,0.000000,0.000000
35,8.000000,0.500000,0.500000,0.000000,0.000000
36,8.000000,0.500000,0.500000,0.000000,0.000000
37,10.000000,0.500000,0.500000,0.000000,0.000000
38,9.000000,0.500000,0.500000,0.000000,0.000000
39,10.000000,0.500000,0.500000,0.000000,0.000000
40,8.000000,0.500000,0.500000,0.000000,0.000000
41,10.000000,0.500000,0.500000,0.000000,0.000000
42,8.000000,0.500000,0.500000,0.000000,0.000000
43,10.000000,0.500000,0.500000,0.000000,0.000000
44,9.000000,0.500000,0.500000,0.000000,0.000000
45,9.000000,0.500000,0.500000,0.000000,0.000000
46,10.000000,0.500000,0.500000,0.000000,0.000000
47,10.000000,0.500000,0.500000,0.000000,0.000000
48,9.000000,0.500000,0.500000,0.000000,0.000000
49,10.000000,0.500000,0.500000,0.000000,0.000000
50,10.000000,0.000000,0.000000,0.200000,0.800000
51,9.000000,0.000000,0.000000,0.200000,0.800000
52,9.000000,0.000000,0.000000,0.200000,0.800000
53,9.000000,0.000000,0.000000,0.200000,0.800000
54,8.000000,0.000000,0.000000,0.200000,0.800000
55,9.000000,0.000000,0.000000,0.200000,0.800000
56,11.000000,0.000000,0.000000,0.200000,0.800000
57,10.000000,0.000000,0.000000,0.200000,0.800000
58,9.000000,0.000000,0.000000,0.200000,0.800000
59,8.000000,0.000000,0.000000,0.200000,0.800000
60,8.000000,0.000000,0.000000,0.200000,0.800000
61,10.000000,0.000000,0.000000,0.200000,0.800000
62,10.000000,0.000000,0.000000,0.200000,0.800000
63,9.000000,0.000000,0.000000,0.200000,0.800000
64,8.000000,0.000000,0.000000,0.200000,0.800000
65,9.000000,0.000000,0.000000,0.200000,0.800000
66,8.000000,0.000000,0.000000,0.200000,0.800000
67,9.000000,0.000000,0.000000,0.200000,0.800000
68,10.000000,0.000000,0.000000,0.200000,0.800000
69,10.000000,0.000000,0.000000,0.200000,0.800000
70,9.000000,0.000000,0.000000,0.200000,0.800000
71,10.000000,0.000000,0.000000,0.200000,0.800000
72,9.000000,0.000000,0.000000,0.200000,0.800000
73,9.000000,0.000000,0.000000,0.200000,0.800000
74,10.000000,0.000000,0.000000,0.200000,0.800000
75,10.000000,0.000000,0.000000,0.200000,0.800000
76,10.000000,0.000000,0.000000,0.200000,0.800000
77,9.000000,0.000000,0.000000,0.200000,0.800000
78,10.000000,0.000000,0.000000,0.200000,0.800000
79,10.000000,0.000000,0.000000,0.200000,0.800000
80,8.000000,0.000000,0.000000,0.200000,0.800000
81,10.000000,0.000000,0.000000,0.200000,0.800000
82,9.000000,0.000000,0.000000,0.200000,0.800000
83,10.000000,0.000000,0.000000,0.200000,0.800000
84,10.000000,0.000000,0.000000,0.200000,0.800000
85,9.000000,0.000000,0.000000,0.200000,0.800000
86,10.000000,0.000000,0.000000,0.200000,0.800000
87,9.000000,0.000000,0.000000,0.200000,0.800000
88,10.000000,0.000000,0.000000,0.200000,0.800000
89,10.000000,0.000000,0.000000,0.200000,0.800000
90,9.000000,0.000000,0.000000,0.200000,0.800000
91,10.000000,0.000000,0.000000,0.200000,0.800000
92,9.000000,0.000000,0.000000,0.200000,0.800000
93,9.000000,0.000000,0.000000,0.200000,0.800000
94,10.000000,0.000000,0.000000,0.200000,0.800000
95,9.000000,0.000000,0.000000,0.200000,0.800000
96,9.000000,0.000000,0.000000,0.200000,0.800000
97,10.000000,0.000000,0.000000,0.200000,0.800000
98,8.000000,0.000000,0.000000,0.200000,0.800000
99,10.000000,0.000000,0.000000,0.200000,0.800000
