step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
0,lag_feature_extract,164576,5842,0
0,preference_plane_get,13792,556,0
0,tegra_daemon_sample,29248,140,0
0,rl_arbiter_act,23488,52,0
0,override_layer_step,15648,1108,0
0,resource_manager_decide,17280,572,0
0,dvfs_controller_set,31520,1660,0
1,replay_buffer_add,905120,1037,1503232
1,lag_feature_extract,108032,624,0
1,preference_plane_get,8384,156,0
1,tegra_daemon_sample,26560,140,0
1,rl_arbiter_act,13056,52,0
1,override_layer_step,7776,116,0
1,resource_manager_decide,12256,116,0
1,dvfs_controller_set,22816,228,0
2,replay_buffer_add,239264,458,0
2,lag_feature_extract,83456,512,0
2,preference_plane_get,8160,156,0
2,tegra_daemon_sample,25984,140,0
2,rl_arbiter_act,10624,52,0
2,override_layer_step,7424,116,0
2,resource_manager_decide,11232,116,0
2,dvfs_controller_set,21216,228,0
3,replay_buffer_add,239264,458,0
3,lag_feature_extract,82944,512,0
3,preference_plane_get,7616,156,0
3,tegra_daemon_sample,24896,140,0
3,rl_arbiter_act,10880,52,0
3,override_layer_step,7264,116,0
3,resource_manager_decide,11648,116,0
3,dvfs_controller_set,20608,228,0
4,replay_buffer_add,232096,458,0
4,lag_feature_extract,82240,512,0
4,preference_plane_get,8064,156,0
4,tegra_daemon_sample,26688,140,0
4,rl_arbiter_act,11168,52,0
4,override_layer_step,7776,116,0
4,resource_manager_decide,11840,116,0
4,dvfs_controller_set,20288,228,0
5,replay_buffer_add,244288,458,0
5,lag_feature_extract,84576,512,0
5,preference_plane_get,10400,11314,0
5,tegra_daemon_sample,29888,140,0
5,rl_arbiter_act,10432,116,0
5,override_layer_step,7296,116,0
5,resource_manager_decide,11744,116,0
5,dvfs_controller_set,21280,228,0
6,replay_buffer_add,252032,458,0
6,lag_feature_extract,84576,512,0
6,preference_plane_get,8512,156,0
6,tegra_daemon_sample,26624,140,0
6,rl_arbiter_act,10848,52,0
6,override_layer_step,7008,116,0
6,resource_manager_decide,10976,116,0
6,dvfs_controller_set,20832,396,0
7,replay_buffer_add,233408,458,0
7,lag_feature_extract,84480,848,0
7,preference_plane_get,8960,156,0
7,tegra_daemon_sample,27488,140,0
7,rl_arbiter_act,10176,52,0
7,override_layer_step,7040,116,0
7,resource_manager_decide,11328,116,0
7,dvfs_controller_set,20608,564,0
8,replay_buffer_add,256512,458,0
8,lag_feature_extract,84384,848,0
8,preference_plane_get,8640,156,0
8,tegra_daemon_sample,27616,140,0
8,rl_arbiter_act,10176,52,0
8,override_layer_step,7328,116,0
8,resource_manager_decide,11328,116,0
8,dvfs_controller_set,20640,564,0
9,replay_buffer_add,240928,458,0
9,lag_feature_extract,85216,848,0
9,preference_plane_get,8608,156,0
9,tegra_daemon_sample,27584,140,0
9,rl_arbiter_act,10880,52,0
9,override_layer_step,7232,116,0
9,resource_manager_decide,11360,116,0
9,dvfs_controller_set,22752,332,0
10,replay_buffer_add,235392,394,0
10,lag_feature_extract,89408,848,0
10,preference_plane_get,8160,156,0
