env_name,agent_type,ablation,platform,seed,n_episodes,n_steps,mean_reward,override_fire_count,tail_p99_ms,mean_energy_j,mean_memory_util,wall_time_s
CartPole-v1,preference_ppo,none,orin_agx,0,200,3079,1.000000,55,0.066891,0.001294,0.108610,0.249729
CartPole-v1,preference_ppo,none,orin_agx,1,200,3149,1.000000,41,0.063970,0.001293,0.108741,0.245072
CartPole-v1,preference_ppo,none,orin_agx,2,200,3140,1.000000,57,0.063031,0.001300,0.108668,0.244652
CartPole-v1,preference_ppo,preference_plane,orin_agx,0,200,4523,1.000000,301,0.070273,0.001465,0.112881,0.444052
CartPole-v1,preference_ppo,preference_plane,orin_agx,1,200,4426,1.000000,344,0.069178,0.001454,0.112979,0.353759
CartPole-v1,preference_ppo,preference_plane,orin_agx,2,200,4115,1.000000,232,0.068859,0.001469,0.111873,0.331244
CartPole-v1,preference_ppo,resource_manager,orin_agx,0,200,3079,1.000000,55,0.065190,0.001294,0.108610,0.240696
CartPole-v1,preference_ppo,resource_manager,orin_agx,1,200,3149,1.000000,41,0.064385,0.001293,0.108741,0.245064
CartPole-v1,preference_ppo,resource_manager,orin_agx,2,200,3140,1.000000,57,0.062817,0.001300,0.108668,0.245124
CartPole-v1,preference_ppo,rl_arbiter,orin_agx,0,200,4127,1.000000,258,0.044503,0.001473,0.112071,0.233907
CartPole-v1,preference_ppo,rl_arbiter,orin_agx,1,200,4325,1.000000,337,0.044577,0.001467,0.112772,0.244084
CartPole-v1,preference_ppo,rl_arbiter,orin_agx,2,200,4342,1.000000,283,0.043947,0.001474,0.112512,0.244681
CartPole-v1,preference_ppo,override_layer,orin_agx,0,200,3123,1.000000,0,0.060082,0.001299,0.109403,0.235498
CartPole-v1,preference_ppo,override_layer,orin_agx,1,200,3130,1.000000,0,0.059479,0.001298,0.108577,0.236625
CartPole-v1,preference_ppo,override_layer,orin_agx,2,200,3154,1.000000,0,0.059741,0.001304,0.108722,0.237805
