step,component,elapsed_ns,mem_delta_bytes,rss_delta_bytes
0,preference_plane_get,25632,3040,0
0,tegra_daemon_sample,57280,2756,0
0,rl_arbiter_act,80864,124,0
0,override_layer_step,19040,996,0
0,resource_manager_decide,18752,508,0
0,dvfs_controller_set,1199264,2614,0
1,preference_plane_get,10016,164,0
1,tegra_daemon_sample,34656,204,0
1,rl_arbiter_act,60608,164,0
1,override_layer_step,11936,116,0
1,resource_manager_decide,13568,52,0
1,dvfs_controller_set,1078528,974,0
2,preference_plane_get,8864,164,0
2,tegra_daemon_sample,30976,204,0
2,rl_arbiter_act,56992,332,0
2,override_layer_step,9760,284,0
2,resource_manager_decide,13504,52,0
2,dvfs_controller_set,1076416,851,0
3,preference_plane_get,8928,164,0
3,tegra_daemon_sample,31264,204,0
3,rl_arbiter_act,56288,284,0
3,override_layer_step,10944,217,0
3,resource_manager_decide,13504,52,0
3,dvfs_controller_set,1116352,784,0
4,preference_plane_get,8672,164,0
4,tegra_daemon_sample,31872,204,0
4,rl_arbiter_act,59232,332,0
4,override_layer_step,10656,217,0
4,resource_manager_decide,14432,52,0
4,dvfs_controller_set,1057952,583,0
5,preference_plane_get,9216,164,0
5,tegra_daemon_sample,33440,228,0
5,rl_arbiter_act,58368,356,0
5,override_layer_step,10240,284,0
5,resource_manager_decide,12736,52,0
5,dvfs_controller_set,1063424,650,0
6,preference_plane_get,8832,164,0
6,tegra_daemon_sample,31456,204,0
6,rl_arbiter_act,86272,332,0
6,override_layer_step,10208,217,0
6,resource_manager_decide,12992,52,0
6,dvfs_controller_set,1055424,717,0
7,preference_plane_get,8640,164,0
7,tegra_daemon_sample,31008,204,0
7,rl_arbiter_act,56064,332,0
7,override_layer_step,10368,217,0
7,resource_manager_decide,12512,52,0
7,dvfs_controller_set,1344288,3569,0
8,preference_plane_get,9056,164,0
8,tegra_daemon_sample,31904,140,0
8,rl_arbiter_act,56448,116,0
8,override_layer_step,10560,217,0
8,resource_manager_decide,12704,52,0
8,dvfs_controller_set,1064896,717,0
9,preference_plane_get,9248,164,0
9,tegra_daemon_sample,31552,204,0
9,rl_arbiter_act,56640,284,0
9,override_layer_step,10432,217,0
9,resource_manager_decide,12384,52,0
9,dvfs_controller_set,1080928,784,0
10,preference_plane_get,8928,164,0
10,tegra_daemon_sample,31200,204,0
10,rl_arbiter_act,56256,284,0
10,override_layer_step,9568,217,0
10,resource_manager_decide,12736,52,0
10,dvfs_controller_set,1050560,784,0
11,preference_plane_get,9152,164,0
11,tegra_daemon_sample,31488,204,0
11,rl_arbiter_act,55136,284,0
11,override_layer_step,10272,217,0
11,resource_manager_decide,14048,52,0
11,dvfs_controller_set,1045152,488,0
12,preference_plane_get,8640,164,0
12,tegra_daemon_sample,29696,204,0
12,rl_arbiter_act,56416,284,0
12,override_layer_step,10848,217,0
12,resource_manager_decide,12896,52,0
12,dvfs_controller_set,1039776,784,0
13,preference_plane_get,8320,164,0
13,tegra_daemon_sample,31200,204,0
13,rl_arbiter_act,53824,284,0
13,override_layer_step,10208,217,0
13,resource_manager_decide,12672,52,0
13,dvfs_controller_set,1030112,784,0
14,preference_plane_get,8096,164,0
14,tegra_daemon_sample,30400,204,0
